Day,Date,ID,Condition,Replicate,Count1,Count2,Count3,Mean,S.E.
13,20240304,SD100-1,SD100,1,211000,457000,194000,287333.3333,84975.15977
13,20240304,SD100-2,SD100,2,457000,299000,540000,432000,70684.74611
13,20240304,SD100-3,SD100,3,340000,276000,120000,245333.3333,65333.33333
13,20240304,SD100-4,SD100,4,375000,211000,170000,252000,62628.5345
13,20240304,SD100-5,SD100,5,258000,170000,270000,232666.6667,31524.24111
13,20240304,SD100-6,SD100,6,182000,522000,751000,485000,165294.6863
13,20240304,SD100-7,SD100,7,311000,334000,428000,357666.6667,35787.95576
14,20240305,Cont-1,Control,1,0,0,17600,5866.666667,5866.666667
14,20240305,Cont-2,Control,2,11700,0,0,3900,3900
14,20240305,Cont-3,Control,3,0,0,0,0,0
14,20240305,Lin-1,Linear,1,176000,246000,76200,166066.6667,49268.01983
14,20240305,Lin-2,Linear,2,64500,164000,99700,109400,29129.76713
14,20240305,Lin-3,Linear,3,152000,211000,182000,181666.6667,17032.64839
14,20240305,Lin-4,Linear,4,217000,214000,152000,194333.3333,21184.37579
14,20240305,Lin-5,Linear,5,99700,170000,282000,183900,53082.42019
14,20240305,Lin-6,Linear,6,257000,205000,199000,220333.3333,18414.96976
14,20240305,Lin-7,Linear,7,111000,64500,88000,87833.33333,13423.65243
14,20240305,SD025-1,SD025,1,135000,129000,129000,131000,2000
14,20240305,SD025-2,SD025,2,106000,99700,76200,93966.66667,9067.585738
14,20240305,SD025-3,SD025,3,88000,135000,111000,111333.3333,13568.75496
14,20240305,SD025-4,SD025,4,158000,205000,164000,175666.6667,14768.58528
14,20240305,SD025-5,SD025,5,99700,252000,123000,158233.3333,47363.35902
14,20240305,Sd025-6,SD025,6,282000,235000,240000,252333.3333,14903.3926
14,20240305,SD025-7,SD025,7,211000,164000,217000,197333.3333,16756.42497
14,20240305,SD100-1,SD100,1,211000,240000,205000,218666.6667,10806.37672
14,20240305,SD100-2,SD100,2,393000,545000,581000,506333.3333,57611.7272
14,20240305,SD100-3,SD100,3,340000,317000,381000,346000,18717.19352
14,20240305,SD100-4,SD100,4,270000,405000,270000,315000,45000
14,20240305,SD100-5,SD100,5,199000,211000,282000,230666.6667,25899.37794
14,20240305,SD100-6,SD100,6,311000,405000,293000,336333.3333,34724.31105
14,20240305,SD100-7,SD100,7,299000,475000,393000,389000,50846.17324
